Taxon Name,L001-001-981789527_S1,L001-002-232189519_S2,L001-003-981791405_S3,L001-004-981791340_S4,L001-005-232196117_S5,L001-006-232196145_S6,L001-007-232196139_S7,L001-012-NTC-RPIP-LT001_S12
Enterobacter hormaechei,22.142091,52.4490936,55.8998686,17.0032684,1793.3391439,58.6541311,2085.8153715,37.7155172
Comamonas testosteroni,0.976857,0.6681413,0.132151,1.2595014,1.0310497,,0.1281843,10.7758621
Leuconostoc mesenteroides,,,0.264302,,0.1718416,,,21.5517241
Corynebacterium diphtheriae,7.4892367,5.6792012,2.7751708,29.598282,6.0144567,1.1436739,2.8200552,21.5517241
Corynebacterium accolens,24.4214239,26.7256528,29.3375197,59.8263148,62.7221912,2.9408757,33.9688467,21.5517241
Malassezia restricta,1.9537139,1.002212,2.6430198,1.2595014,1.2028913,,1.6663963,21.5517241
Delftia acidovorans,,1.3362826,0.396453,,0.1718416,,,21.5517241
Erysiphe alphitoides,,,,,0.1718416,,,21.5517241
Corynebacterium kefirresidentii,2.2793329,1.3362826,9.2505693,4.4082548,2.7494659,,1.0254746,10.7758621
Pseudomonas aeruginosa,6.1867607,161.0220581,11.1006831,14.4842657,601.1019859,57.8372212,50.6328092,16.1637931
Pseudomonas mendocina,,155.3428569,0.528604,1.889252,2.0620994,,0.1281843,5.387931
Shigella sonnei,29840.049442,46.7698924,37406.7912919,124.690635,37464.2225748,46834.2617242,40299.3578778,16.1637931
Haemophilus influenzae,171.9268243,27.0597235,29260.3435326,32.7470354,53.786427,17982.4743417,27410.6801507,16.1637931
Gardnerella vaginalis,129.5963562,5.0110599,208.0056578,8.1867589,207.7565183,188.8695699,216.1187756,16.1637931
Actinoplanes campanulatus,,1.3362826,0.132151,8.1867589,,0.163382,,16.1637931
Corynebacterium sp. HMSC034E11,,,,,,,,16.1637931
Aeromonas caviae,,1.6703533,0.264302,,2.0620994,,,5.387931
Clostridium botulinum,0.325619,1.3362826,,0.6297507,0.8592081,0.163382,0.769106,10.7758621
Mycolicibacterium mucogenicum,0.651238,,,,,0.163382,,10.7758621
Agrobacterium larrymoorei,,,,,,,,10.7758621
Corynebacterium singulare,,1.3362826,0.132151,,,,0.1281843,5.387931
Delftia tsuruhatensis,,,,,,,0.8972903,10.7758621
Corynebacterium halotolerans,0.325619,0.6681413,,,0.1718416,,,10.7758621
Corynebacterium sp. NML98-0116,,,0.132151,,,,,10.7758621
Coniothyrium glycines,,,,,,,,5.387931
Brevundimonas sp.,0.976857,,,1.2595014,0.1718416,0.163382,0.1281843,10.7758621
Gammaproteobacteria bacterium,,1.002212,0.264302,0.6297507,1.0310497,0.163382,0.769106,10.7758621
Xanthomonadaceae bacterium,,,,,,,0.1281843,10.7758621
Ralstonia sp. PBBBR1,,,,,,,,10.7758621
Corynebacterium hadale,1.6280949,,0.264302,0.6297507,0.3436832,,0.1281843,10.7758621
Acidovorax sp. 62,,,,,,,,10.7758621
Pseudoalteromonas sp. S558,49.1684668,2.3384946,93.1664477,17.6330191,914.712942,1126.68214,90.6263193,10.7758621
Epilithonimonas vandammei,,,,,,,,5.387931
Paracoccus sp. YIM 132242,,,,,,,,10.7758621
Diaphorobacter sp. JS3051,,,,,,,,10.7758621
Acinetobacter baumannii,19.2115201,156.3450689,10772.9486793,35.2660382,13405.5365995,13622.1360364,9861.2202882,5.387931
Klebsiella pneumoniae,3474.6801933,110.9114591,14231.7365324,545.3640904,32916.6059493,37800.0550924,34119.4632812,5.387931
Shigella dysenteriae,2.6049519,1.3362826,2.3787178,11.3355123,0.8592081,0.8169099,0.8972903,5.387931
Aeromonas hydrophila,,2.3384946,0.396453,,0.6873665,,0.769106,5.387931
Vibrio cholerae,24.0958049,10817.8761109,9459.7642948,7.5570082,9301.7868779,6883.6096177,8875.0982594,5.387931
Vibrio parahaemolyticus,60.2395123,35.41149,76.911876,28.9685314,86.0926515,52.7723798,87.0371581,5.387931
Plesiomonas shigelloides,,,,,,,,5.387931
Actinobacillus pleuropneumoniae,,0.3340707,,,0.5155249,,,5.387931
Pasteurella multocida,1.6280949,21.3805222,410.064521,2.5190027,14.9502209,4.2479315,17.0485155,5.387931
Pediococcus pentosaceus,,,,,,,,5.387931
Listeria grayi,0.325619,1.3362826,0.9250569,0.6297507,0.6873665,0.163382,1.0254746,5.387931
Corynebacterium variabile,,0.6681413,,,0.1718416,,,5.387931
Lupinus albus,2101.5449318,115624.5279785,7970.158339,64.2345695,12158.3101233,3047.4007071,2273.9899638,5.387931
Halomonas meridiana,,,,,,,,5.387931
Tetranychus urticae,,,,,,,,5.387931
Cutibacterium avidum,,,6.8718515,0.6297507,0.6873665,,0.6409216,5.387931
Parvimonas micra,0.651238,,,,,,0.2563687,5.387931
Luteococcus japonicus,,,,,,,,5.387931
Moraxella atlantae,,3.3407066,,,0.8592081,,,5.387931
Photobacterium damselae,0.976857,0.3340707,1.4536609,0.6297507,0.8592081,2.7774937,2.8200552,5.387931
Pseudomonas amygdali,24.7470429,1082.3889383,83.2551235,45.9717998,270.1350263,70.2542518,129.3379861,5.387931
Peptoniphilus harei,,,,,,,,5.387931
Pantoea cypripedii,,,,,,,0.1281843,5.387931
Melanomma pulvis-pyrius,0.325619,,0.132151,,0.1718416,,,5.387931
Acinetobacter nosocomialis,1.3024759,5.0110599,,,4.4678821,,,5.387931
Pseudoramibacter alactolyticus,2.9305709,1.6703533,,0.6297507,0.3436832,0.326764,0.1281843,5.387931
Halomonas axialensis,,0.6681413,,,0.3436832,,,5.387931
Corynebacterium aurimucosum,9.1173316,12.6946851,7.2683044,13.854515,14.6065377,0.6535279,13.4593544,5.387931
Epilithonimonas tenax,,,,,,,,5.387931
Aspergillus alliaceus,,,,0.6297507,,,,5.387931
Halomonas anticariensis,,,,,,,,5.387931
Denitratisoma oestradiolicum,,,,,,,,5.387931
Psychrobacter arcticus,,,,,,,,5.387931
Comamonas thiooxydans,,,,,0.3436832,,0.1281843,5.387931
Pseudomonas delhiensis,,1.6703533,,,0.6873665,,,5.387931
Corynebacterium ureicelerivorans,,1.002212,0.132151,,,,,5.387931
Chryseobacterium hominis,,,,,,,,5.387931
Propioniciclava tarda,,,,,,,,5.387931
Amniculicola lignicola,2.6049519,0.6681413,,0.6297507,0.3436832,,0.1281843,5.387931
Chryseobacterium piscicola,,,,,,,,5.387931
Pseudomonas chlororaphis,,412.2431944,,0.6297507,10.1386556,0.4901459,1.2818433,5.387931
Undibacterium squillarum,2.2793329,,,30.2280327,0.3436832,,,5.387931
Streptomyces sp. W75,,,,,,,,5.387931
Defluviimonas alba,,,0.132151,,,,,5.387931
Corynebacterium sp. HMSC05C01,,,,,,,,5.387931
Corynebacterium sp. HMSC075D04,,0.3340707,,,,,,5.387931
Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_63_20,,,,,,,,5.387931
Rhizophagus sp. MUCL 43196,,1.3362826,0.396453,5.6677561,0.1718416,0.163382,0.2563687,5.387931
Methylomonas sp. EbB,0.651238,,0.132151,,106.5418043,50.3216501,,5.387931
Peptoniphilus urinimassiliensis,,,,,,,,5.387931
Betaproteobacteria bacterium,0.325619,0.6681413,,,0.6873665,0.326764,,5.387931
Alphaproteobacteria bacterium,,1.002212,0.396453,1.2595014,1.8902578,0.163382,0.384553,5.387931
Candidatus Accumulibacter sp.,,,,,,,,5.387931
Desertihabitans aurantiacus,,,,,,,,5.387931
Nonomuraea sp. 160415,,,,,,,,5.387931
Blastococcus sp. CT_GayMR20,,,,1.2595014,,,,5.387931
Burkholderiales bacterium 8X,696.8246288,,,,0.1718416,2.2873477,,5.387931
Corynebacterium sp. 2039,,,,,,,,5.387931
Corynebacterium anserum,,,,,,,,5.387931
Corynebacterium sp. zg-913,0.325619,,0.132151,,,,,5.387931
Phormidium sp. LEGE 05292,,,,,,,0.1281843,5.387931
Vibrio campbellii,24286.9432648,3381.4632201,24655.410146,23705.7049114,23079.8761091,21757.5783915,27754.2141475,
Acetobacter indonesiensis,,,,5888.1688739,,,,
Lachnellula subtilissima,,676.4930864,,5146.3225709,,115.8378244,210.8632182,
Geitlerinema sp. FC II,9.7685696,1.6703533,1365.9126294,2992.5752395,42.1011968,20.9128936,36.7889019,
Xenorhabdus stockiae,15907.4642943,7.0154839,30964.8269976,2749.4914763,25978.3287096,24120.4085987,30161.5158115,
Lasiodiplodia theobromae,0.976857,0.6681413,,0.6297507,0.1718416,,,
Influenza A virus,,,3888.0142676,1874.1380288,0.1718416,0.163382,577.5985782,
Myriangium duriaei,119.1765487,66.814132,47.0457523,205.9284729,49.1467033,3.1042576,14.7411976,
Saitoella complicata,3146.130637,496.4290007,139.6835961,2263.9537007,1328.8512456,109.7926911,123.1851384,
Hortaea thailandica,,561.2387087,244.2150289,2090.7722633,408.8112134,39.0482934,177.5352931,
Cryptococcus cf. gattii,1213.2563396,372.1547152,176.6858732,1836.9827385,557.4542145,0.6535279,103.3165677,
Bacteroides fragilis,154.0177801,8.6858372,6641.5122887,1319.3276782,1519.9391268,5493.2289606,7380.8535577,
uncultured organism,0.325619,1.3362826,,0.6297507,0.1718416,,,
Saccharata proteae,1.3024759,0.6681413,0.264302,1008.8605921,,11.1099747,42.0444593,
Klebsiella quasipneumoniae,290.126516,265.5861747,1508.7678493,932.0310089,249.6858735,230.205211,0.8972903,
Graphis scripta,328.2239373,176.3893085,109.6853214,869.0559408,135.7548796,,59.9902651,
fungal sp. No.11243,414.1873494,138.9733945,87.4839552,834.4196533,135.9267212,14.3776143,56.5292883,
Cedecea neteri,,,,812.3783794,0.1718416,,0.2563687,
Aglaothamnion neglectum,,,,657.4597117,,,,
Streptomyces griseocarneus,11.7222835,3.3407066,882.5043091,642.975446,1623.3877819,2922.5768737,880.2417746,
Shigella flexneri,8036.9277979,114.5862364,14136.4556688,616.5259174,9601.6505044,15329.4777364,8288.014041,
Sydowia polyspora,,,,0.6297507,,,29.8669482,
Halobacillus sp. SKP4-6,,,,587.557386,,,,
Serratia marcescens,102.5699804,11.3584024,59.0714924,533.3988274,1594.1747066,1919.4115112,47.1718324,
Aplosporella prunicola,0.325619,,,0.6297507,,,,
Cryomyces minteri,2.9305709,164.3627647,73.6081013,506.9492988,103.96418,0.163382,,
Drechslerella brochopaga,140.3417827,84.519877,51.142433,411.2271952,63.9250826,7.3521891,28.7132893,
Mycobacterium ahvazicum,0.325619,199.440184,710.0472676,375.3314063,2262.8104491,741.4274292,748.2119176,
Corynebacterium segmentosum,3.2561899,0.6681413,0.7929059,6.9272575,4.983407,0.6535279,1.9227649,
Rickettsiales bacterium,64.1469401,38.0840552,104.7957348,285.2770588,31.2751748,9.1493909,0.2563687,
Sepia pharaonis,12.3735214,0.3340707,6.0789455,278.3498013,7.3891896,7.1888072,7.9474283,
Penicillium adametzii,,,,277.7200506,,,,
Trichophyton rubrum,80.7535084,56.1238709,,265.125037,37.6333147,0.163382,0.384553,
Exophiala dermatitidis,541.1787538,22.0486636,10.5720792,256.9382781,56.3640513,1.6338198,0.5127373,
Latilactobacillus sakei,,1.6703533,0.396453,241.8242618,0.3436832,,0.384553,
Lacticaseibacillus paracasei,,0.3340707,3.0394728,238.0457577,0.8592081,1.9605838,0.1281843,
Lactobacillus amylolyticus,780.834327,32572.2234171,39.9095989,219.1532372,11508.7488005,309.7722357,11506.5943116,
uncultured Dialister sp.,,0.3340707,0.132151,179.4789443,,0.163382,0.2563687,
Legionella pneumophila,206.7680557,15.3672504,1678.581871,178.8491936,320.8283041,421.1987467,535.9386718,
Clonorchis sinensis,185.9284407,13.3628264,2717.5529519,166.25418,1932.1871726,235.4334344,2957.0842432,
Dolosigranulum pigrum,365.0188826,136.9689706,,147.9914102,,,0.5127373,
Vibrio harveyi,80.7535084,47.1039631,263.3769224,156.8079197,42.2730385,29.8989025,217.9133562,
Shimwellia blattae,,0.3340707,0.132151,151.7699143,,0.8169099,0.2563687,
Anisakis simplex,164.1119686,31.402642,532.4363375,149.8806622,560.5473637,606.6372949,592.9806974,
Nadvornikia sorediata,37.4461833,25.0552995,,132.2476432,15.4657458,,,
Lactococcus lactis,11.7222835,6.6814132,18.1046856,76.8295832,10.826022,0.8169099,6.5374007,
Enterobacter sp. FY-07,31.5850416,28.7300768,71.8901384,126.579887,18.5588949,6.5352792,63.9639793,
Aureobasidium namibiae,,,0.132151,0.6297507,0.1718416,0.163382,,
Corynebacterium propinquum,155.971494,2.6725653,0.7929059,121.5418816,1.0310497,,15.1257506,
Yersinia enterocolitica,,,0.132151,120.2823802,0.5155249,,,
Escherichia sp. 93.1462,203.5118659,55.4557296,129.5079699,105.1683638,,9.6395369,,
Mycobacterium sp.,1.6280949,2.3384946,2.9073218,74.9403311,0.1718416,,,
Triticum turgidum,1.9537139,2.004424,47.1779033,74.3105804,2.4057827,53.9160537,553.4999247,
Corynebacterium pseudodiphtheriticum,129.2707372,28.0619354,0.7929059,69.272575,0.5155249,0.163382,5.1273731,
Rachicladosporium antarcticum,2.6049519,,0.132151,62.9750682,0.6873665,0.326764,0.2563687,
Annulohypoxylon stygium,16.2809493,9.3539785,,59.8263148,6.3581399,,,
Colletotrichum fructicola,,6.3473425,,58.5668134,,,2.3073179,
[Ruminococcus] torques,29.3057087,4.6769892,105.8529427,47.2313011,49.4903865,50.3216501,91.9081626,
Pantoea ananatis,103303.9255974,10.6902611,11800.6869261,46.6015504,9561.4395654,8563.8299089,10471.1213169,
Corynebacterium macginleyi,18.8859012,7.0154839,4.7574356,46.6015504,20.9646776,1.7972018,21.2785983,
Photorhabdus luminescens,81.4047464,8.0176958,5913.6246375,45.9717998,2147.3328806,8089.2052545,1839.0605417,
uncultured Gammaproteobacteria bacterium,1.9537139,0.3340707,308.4404099,3.1487534,2.5776243,42.479315,3736.9576896,
Glarea lozoyensis,,,5.2860396,45.3420491,13.575488,8.9860089,,
Elsinoe australis,32.8875175,14.0309677,2.5108688,44.7122984,8.2483977,1.1436739,9.6138245,
Aureobasidium subglaciale,0.976857,0.3340707,,1.2595014,0.3436832,,,
Elsinoe ampelina,19.8627581,12.6946851,4.2288317,44.0825477,17.5278452,0.163382,1.0254746,
Neurospora crassa,,23.3849462,8.9862673,42.8230464,9.6231307,,,
Quercus suber,11.7222835,0.6681413,0.9250569,10.0760109,10.9978637,0.8169099,1.4100276,
Blastomyces percursus,0.325619,0.3340707,,38.4147916,,0.163382,,
Ephemera danica,82.3816033,9.6880491,5997.672667,37.1552902,744.0742136,5214.4993012,2472.2911179,
Ralstonia pickettii,13.0247594,4.6769892,1.0572079,16.3735177,6.7018232,0.163382,0.6409216,
Corynebacterium sp. HMSC055D05,,,,30.8577834,1.0310497,,,
Plasmodium ovale,0.651238,,0.264302,29.598282,0.8592081,0.8169099,,
Citrobacter freundii,8.4660936,3.3407066,1496.3456562,28.9685314,8.9357642,6.3718973,1565.8997406,
Aureobasidium pullulans,13.3503784,11.0243318,6.0789455,21.4115232,4.983407,1.3070558,3.5891612,
Bordetella pertussis,1673.030347,18.3738863,635.3819584,0.6297507,39.6954142,2.2873477,5.6401104,
uncultured fungus,,,0.6607549,2.5190027,0.5155249,0.163382,,
Staphylococcus epidermidis,217.8391012,26.7256528,247.9152567,22.6710245,34.8838488,6.6986612,230.4754202,
Rickettsia endosymbiont of Proechinophthirus fluctus,23.118948,4.6769892,24.1836311,20.1520218,15.9812706,11.2733567,164.4604917,
Chlamydia pneumoniae,2.2793329,,0.7929059,19.5222711,2.7494659,1.6338198,0.8972903,
Rhodococcus qingshengii,,8.0176958,,19.5222711,1.0310497,0.8169099,,
Staphylococcus gallinarum,1.3024759,0.6681413,1.4536609,18.2627698,1.2028913,,0.769106,
Nitrospirae bacterium RIFOXYB2_FULL_43_5,31.5850416,2.3384946,14.8009108,17.6330191,8.9357642,13.0705585,22.3040729,
Lacticaseibacillus rhamnosus,164.1119686,11.3584024,149.1984674,17.0032684,167.7174209,147.5339287,81.5252321,
Sporosarcina sp. P29,19.8627581,1.6703533,21.9370643,15.743767,20.6209944,25.650971,29.8669482,
Hortaea werneckii,11.0710455,3.3407066,3.4359257,15.1140164,4.4678821,0.6535279,2.0509492,
Frigoribacterium sp. Leaf164,4.8842848,3.0066359,,15.1140164,1.0310497,,1.1536589,
Pseudomonas savastanoi,20340.1155426,11319.3161715,2505.9792174,14.4842657,7810.5453016,106.6884335,981.507393,
Streptococcus anginosus,10.0941885,2.6725653,0.132151,13.854515,3.7805156,0.163382,3.3327925,
Cutibacterium granulosum,1.3024759,1.6703533,8.8541163,7.5570082,0.5155249,0.4901459,3.5891612,
Mycolicibacterium novocastrense,,,,13.2247643,0.3436832,,0.384553,
Corynebacterium falsenii,,,0.6607549,13.2247643,0.1718416,,0.1281843,
Escherichia albertii,0.976857,,8.3255124,13.2247643,,,163.1786485,
Mycobacterium tuberculosis,2.9305709,11.0243318,3.0394728,12.5950136,3.9523573,74.9923292,56.5292883,
Spodoptera frugiperda,0.325619,2.004424,0.6607549,12.5950136,0.1718416,,0.8972903,
Thermotoga sp. TBYP3.1.4.1,24.7470429,5.0110599,17.3117796,12.5950136,14.4346961,12.2536486,20.765861,
Massilia psychrophila,3.2561899,0.3340707,,12.5950136,,,,
Cladophialophora carrionii,0.976857,,0.528604,11.965263,0.3436832,,0.1281843,
Streptomyces sp. C,,,,11.965263,,,,
Saccharospirillum salsuginis,14.6528543,1.3362826,27.0909529,11.965263,27.4946592,31.2059583,45.5054361,
Corynebacterium stationis,5.5355228,2.6725653,1.4536609,11.3355123,1.7184162,0.163382,2.1791336,
Corymbia citriodora,3.2561899,2.004424,,11.3355123,3.0931492,,,
Onchocerca ochengi,379.997356,17.0376037,1137.5557192,11.3355123,507.1046199,17595.912575,1045.9841096,
Actinomyces graevenitzii,,3.6747773,1.8501139,11.3355123,,,,
Fusarium verticillioides,,,0.132151,11.3355123,,,,
Amphritea balenae,18.8859012,3.6747773,26.2980469,10.7057616,1254.2719827,50.3216501,73.0650665,
Citrobacter koseri,0.325619,0.6681413,0.264302,3.1487534,1.0310497,0.326764,0.769106,
Bacillus cereus,8.1404746,5.0110599,15.9902698,10.0760109,10.9978637,12.4170305,22.6886259,
Lawsonella clevelandensis,2.2793329,1.002212,1.4536609,8.1867589,3.0931492,4.9014594,11.4084051,
Serratia sp. YC16,,,,10.0760109,,,,
Klebsiella oxytoca,,,,9.4462602,2.0620994,0.326764,1.5382119,
Serratia symbiotica,,,0.132151,9.4462602,,,,
Corynebacterium crenatum,,,,9.4462602,,,,
uncultured Chromatiales bacterium HF0200_41F04,23.118948,5.0110599,25.37299,9.4462602,228.3775127,26.6312629,38.0707452,
Fusarium culmorum,1.6280949,0.6681413,0.7929059,8.8165095,0.3436832,0.326764,0.5127373,
Lonsdalea quercina,1.3024759,1.3362826,0.6607549,8.8165095,0.1718416,0.163382,0.6409216,
Corynebacterium camporealensis,0.976857,2.3384946,5.4181906,1.2595014,1.0310497,0.4901459,11.1520365,
Zymoseptoria tritici,0.976857,0.6681413,0.132151,6.2975068,1.2028913,25.814353,0.769106,
Ralstonia mannitolilytica,,,,0.6297507,0.5155249,,,
Corynebacterium simulans,0.651238,,9.6470222,0.6297507,0.8592081,,0.1281843,
Corynebacterium efficiens,1.3024759,5.0110599,,8.1867589,0.3436832,0.163382,0.1281843,
Neohortaea acidophila,0.976857,1.002212,0.132151,2.5190027,0.1718416,0.163382,,
Yersinia pestis,184.3003457,2.6725653,0.7929059,1.889252,1919.1272095,0.9802919,1.1536589,
Stenotrophomonas maltophilia,0.976857,2.6725653,1.1893589,5.0380055,24.7451932,0.6535279,2.4355022,
Beta vulgaris,803.302037,316.0308443,4.6252846,7.5570082,6.1862983,1879.0561619,38.4552981,
Bifidobacterium animalis,0.651238,0.3340707,,6.9272575,0.6873665,0.326764,0.1281843,
Cronobacter sakazakii,1.6280949,5.0110599,117.8786828,0.6297507,21.1365192,24.3439151,55.247445,
Botryococcus braunii,14.0016164,1.6703533,17.3117796,6.9272575,11.8570718,15.0311422,24.6113908,
Corynebacterium casei,6.1867607,1.002212,8.7219653,6.9272575,2.0620994,0.326764,3.0764239,
Listeria monocytogenes,3.5818088,1.6703533,3.1716238,6.2975068,5.3270902,4.0845495,5.1273731,
Streptococcus mitis,3.2561899,199.440184,2.6430198,3.1487534,,0.163382,1.1536589,
Nocardia farcinica,,1.002212,0.396453,6.2975068,0.3436832,,,
Botrytis cinerea,0.651238,,0.132151,3.7785041,,,,
Pinus koraiensis,2.2793329,2.004424,1.4536609,6.2975068,1.2028913,1.4704378,1.0254746,
Corynebacterium sp. KPL1818,6.1867607,0.3340707,0.264302,6.2975068,9.2794475,1.6338198,2.8200552,
Sphaceloma murrayae,8.1404746,13.0287557,1.8501139,6.2975068,11.3415469,0.4901459,0.6409216,
Faecalibacterium prausnitzii,,,0.264302,5.6677561,22.3394106,,0.5127373,
Arthrobacter sp.,,0.3340707,0.528604,0.6297507,0.3436832,0.163382,0.2563687,
Cladosporium cladosporioides,1.3024759,0.6681413,,5.6677561,0.6873665,,0.1281843,
Streptomyces filamentosus,39.0742782,0.6681413,53.5211508,5.6677561,,0.163382,27.815999,
Corynebacterium marinum,,,,5.6677561,,0.163382,0.2563687,
Salinivibrio sp. IB282,2.2793329,1748.5258342,1.9822648,5.6677561,6.5299816,1.7972018,106.3929915,
Corynebacterium pacaense,,,,5.6677561,,,,
Proteobacteria bacterium,4.5586658,17.705745,10.5720792,5.6677561,6.7018232,8.9860089,18.9712804,
Azospirillum brasilense,115.9203588,1.002212,2235.2018396,5.0380055,8212.4828502,6953.5371055,3598.1340633,
Proteus mirabilis,3.2561899,1.002212,3.4359257,5.0380055,8.0765561,2.1239658,4.1018985,
Burkholderia pseudomallei,103.8724563,1.002212,121.7110615,5.0380055,54.6456351,29.4087566,54.478339,
Corynebacterium otitidis,2.2793329,1.002212,0.264302,5.0380055,0.3436832,,0.5127373,
Elsinoe fawcettii,13.3503784,2.3384946,1.5858119,5.0380055,4.4678821,0.9802919,3.2046082,
Corynebacterium coyleae,1.3024759,2.3384946,0.528604,5.0380055,,0.163382,,
Terfezia boudieri,0.976857,,0.132151,5.0380055,0.3436832,,0.1281843,
Pseudoflavonifractor capillosus,2.2793329,2.004424,5.9467945,5.0380055,75.2666295,38.2313835,10.3829305,
Acinetobacter guillouiae,1.3024759,,0.264302,2.5190027,0.3436832,,0.384553,
Paracoccidioides brasiliensis,0.651238,1.3362826,0.7929059,5.0380055,0.3436832,0.8169099,1.0254746,
Candidatus Berkiella aquae,2.6049519,1.6703533,5.8146435,5.0380055,3.0931492,2.6141117,0.2563687,
Aulographum hederae,1.3024759,1.002212,0.132151,5.0380055,0.6873665,0.163382,0.384553,
Drunella basalis,,0.3340707,,5.0380055,,,,
Bacidia sp.,,,,5.0380055,,,,
Pseudomonas oleovorans,0.651238,57.1260829,0.528604,0.6297507,7.3891896,0.163382,0.384553,
Shigella boydii,0.976857,0.6681413,0.264302,4.4082548,24.9170349,,0.2563687,
Streptococcus agalactiae,3.5818088,14.699109,5.8146435,4.4082548,8.592081,2.9408757,2.8200552,
Geobacillus stearothermophilus,,1.6703533,0.528604,4.4082548,0.5155249,,0.1281843,
Rhodococcus ruber,1.3024759,3.3407066,0.7929059,4.4082548,0.6873665,0.6535279,0.1281843,
Histoplasma capsulatum,0.976857,1.002212,,4.4082548,0.3436832,,0.2563687,
Lactobacillus crispatus,267.658806,2.6725653,6.2110965,4.4082548,13.2318047,16.3381981,14.869382,
Verticillium longisporum,2.6049519,0.3340707,0.9250569,4.4082548,0.5155249,0.163382,0.1281843,
Peltaster fructicola,0.651238,0.3340707,0.264302,0.6297507,0.1718416,0.163382,,
Rhynchophorus ferrugineus,1.9537139,3877.2240795,,4.4082548,0.6873665,0.163382,0.1281843,
Enterobacter sp. R4-368,3.2561899,,2196.0851466,4.4082548,3.0931492,1.7972018,4.9991888,
Corynebacterium sp. KPL1824,7.8148556,1.002212,1.3215099,4.4082548,13.2318047,0.8169099,3.0764239,
